MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,RingCount,activity_label
526.0160000000002,4.5219400000000025,4,6,115.04,9,4,1
495.94600000000037,3.5295200000000015,3,6,106.24999999999997,4,5,1
470.53300000000024,3.3105200000000012,3,6,112.24,4,6,0
470.53300000000024,3.3105200000000012,3,6,112.24,4,6,0
470.53300000000024,3.3105200000000012,3,6,112.24,4,6,0
191.161,1.8172799999999998,1,2,61.09,2,1,0
201.18099999999998,1.49068,1,3,78.16,3,1,0
525.9720000000001,3.203920000000001,4,7,124.27000000000001,7,5,1
525.9720000000001,3.203920000000001,4,7,124.27000000000001,7,5,1
525.9720000000001,3.203920000000001,4,7,124.27000000000001,7,5,0
250.30499999999998,2.9799000000000007,1,4,55.040000000000006,2,3,0
170.171,1.82276,1,3,67.81,1,1,0
422.48900000000026,2.0685199999999995,2,6,103.44999999999999,3,5,0
509.97300000000024,3.919620000000001,3,6,106.25,5,5,1
509.97300000000024,3.919620000000001,3,6,106.25,5,5,1
509.97300000000024,3.919620000000001,3,6,106.25,5,5,0
188.18599999999998,0.7844799999999998,2,3,87.10999999999999,2,1,0
182.182,1.9296599999999997,0,3,64.65,2,1,0
186.17,1.52836,2,4,88.04,1,1,0
203.19699999999997,1.68678,1,3,70.32,3,1,0
413.7960000000001,3.8401200000000006,4,5,120.0,4,4,1
413.7960000000001,3.8401200000000006,4,5,120.0,4,4,0
413.7960000000001,3.8401200000000006,4,5,120.0,4,4,0
219.196,1.39238,2,4,90.55,3,1,0
216.196,1.53696,2,5,97.27,2,1,0
270.72300000000007,3.609000000000001,2,4,63.83,2,3,1
315.17400000000004,3.7181000000000015,2,4,63.83,2,3,1
200.197,2.0114600000000005,1,4,77.03999999999999,2,1,0
205.16899999999998,1.0893799999999998,3,4,101.55,2,1,0
441.8500000000001,4.1591200000000015,4,5,120.0,6,4,1
560.6180000000002,4.219820000000002,3,8,130.06,6,7,1
560.6180000000002,4.219820000000002,3,8,130.06,6,7,1
269.25999999999993,1.9204599999999998,2,4,113.98,5,1,0
186.174,1.20726,2,5,92.2,2,1,0
198.18099999999995,1.84586,0,4,66.04,1,2,0
371.242,4.696200000000003,1,5,65.77,4,3,1
300.402,3.4696800000000017,2,3,87.11,8,1,0
282.259,1.27334,3,7,147.07999999999998,3,1,0
224.219,2.2149599999999996,1,3,84.88000000000001,3,1,0
495.9460000000001,3.5295200000000007,3,6,106.25,4,5,1
495.9460000000001,3.5295200000000007,3,6,106.25,4,5,1
495.9460000000001,3.5295200000000007,3,6,106.25,4,5,1
497.5590000000004,2.3927199999999997,4,7,124.27000000000001,7,5,1
497.5590000000004,2.3927199999999997,4,7,124.27000000000001,7,5,1
497.5590000000004,2.3927199999999997,4,7,124.27000000000001,7,5,1
370.4560000000002,5.587900000000003,1,5,65.96000000000001,4,5,0
200.197,1.8313599999999997,1,4,77.03999999999999,2,1,0
511.9890000000001,4.213520000000002,4,6,115.04000000000002,9,4,1
511.9890000000001,4.213520000000002,4,6,115.04000000000002,9,4,1
511.9890000000001,4.213520000000002,4,6,115.04000000000002,9,4,0
292.34600000000006,4.090720000000002,2,5,74.56,4,3,1
357.2150000000001,4.544800000000002,2,5,74.56,4,3,1
306.373,3.802200000000002,1,5,65.77,5,3,1
268.23199999999997,0.9703399999999998,4,7,158.07999999999998,2,1,1
243.17799999999994,1.7540600000000002,0,6,109.18,2,2,0
173.17099999999996,1.6781799999999996,1,2,61.09,2,1,0
252.233,1.2647399999999998,3,6,137.85,2,1,0
143.14899999999997,1.4452599999999998,1,2,63.37,1,1,0
495.9460000000002,3.5295200000000007,3,6,106.25,4,5,1
509.97300000000024,3.9643200000000016,4,6,115.04,4,5,1
509.97300000000024,3.9643200000000016,4,6,115.04,4,5,0
